"response_id,nps_score,feedback_text,response_date,member_location"
"RESP_001,3,""Tried to reschedule my scan three times over the past two weeks. Still haven't received confirmation. Called support twice and left messages but no one has called me back. Really frustrated with this process."",2026-01-20,New York"
"RESP_002,9,""Everything was smooth from start to finish. The facility was clean, staff was professional, and I got my results quickly. Very impressed with the whole experience."",2026-01-20,San Francisco"
"RESP_003,2,""Booking system showed my preferred time slot as available but when I clicked to confirm I got an error message. Tried multiple times, same issue. Eventually had to call but wait time was 45 minutes. Not acceptable."",2026-01-19,Los Angeles"
"RESP_004,10,""The scan itself was quick and the technician made me feel comfortable. Results came back faster than expected and the Scan Advisor walked me through everything. Worth every penny."",2026-01-19,London"
"RESP_005,4,""Requested to change my appointment two weeks ago due to a work conflict. Got an automated email saying someone would get back to me within 48 hours. Still waiting. Had to miss my original scan."",2026-01-18,Boston"
"RESP_006,8,""Overall good experience. Only complaint is the facility was a bit hard to find - better directions would help. But the scan quality and follow-up were excellent."",2026-01-18,Chicago"
"RESP_007,1,""Absolute disaster. Showed up for my appointment and they had no record of it. Showed them my confirmation email and they said the system must have had an error. Wasted my entire morning."",2026-01-17,Miami"
"RESP_008,7,""Pretty good experience overall. Scan was thorough and staff answered all my questions. Would have been nice to get results a bit faster but understand it takes time to review."",2026-01-17,Seattle"
"RESP_009,3,""Communication is terrible. I asked a simple question about my results three days ago and still haven't heard back. Had to follow up twice. For the price we pay this is unacceptable."",2026-01-16,Austin"
"RESP_010,9,""Impressed with how comprehensive the scan is and how knowledgeable the radiologist was during my results review. Feel much more confident about my health now."",2026-01-16,New York"
"RESP_011,5,""The scan itself was fine but getting scheduled was a nightmare. Website kept crashing when I tried to book. Eventually called but was on hold for 30+ minutes."",2026-01-15,Denver"
"RESP_012,10,""Best preventive health decision I've made. The whole team was incredibly professional and the technology is amazing. Already referred two friends."",2026-01-15,San Francisco"
"RESP_013,2,""Very disappointed. Results took three weeks to get back to me despite being told 7-10 days. When I called to check status I got transferred three times and no one could tell me anything."",2026-01-14,Toronto"
"RESP_014,8,""Great experience at the facility. Staff was warm and welcoming. Only minor issue was some confusion about parking but they sorted it out quickly."",2026-01-14,Los Angeles"
"RESP_015,4,""Tried to reschedule due to being sick and the process was incredibly difficult. Couldn't do it online, had to call, got put on hold, then transferred, then told I'd get a callback. Never got one."",2026-01-13,London"
"RESP_016,9,""Everything exceeded my expectations. From booking to results delivery, every touchpoint was professional and efficient. This is healthcare done right."",2026-01-13,Boston"
"RESP_017,3,""Website said appointments available at my preferred location but when I went to book it said no availability for 6 weeks. False advertising. Very frustrating."",2026-01-12,Chicago"
"RESP_018,6,""Decent experience overall. Scan was thorough but the facility was quite cold and uncomfortable. Staff was nice though and tried to make me comfortable."",2026-01-12,Miami"
"RESP_019,1,""Tried to reach someone to discuss my abnormal finding for two days. Left multiple voicemails marked urgent. Finally got a callback 48 hours later. This is my health we're talking about - unacceptable response time."",2026-01-11,Seattle"
"RESP_020,10,""Cannot say enough good things. The Scan Advisor was incredibly thorough in explaining my results and next steps. Feel so much better having this baseline."",2026-01-11,Austin"
"RESP_021,4,""Booking process needs serious work. Had to create an account, then verify email, then fill out extensive forms, then try to find availability. Took over an hour just to schedule."",2026-01-10,New York"
"RESP_022,7,""Good experience at the imaging center. Staff was professional. My only complaint is the follow-up communication could be better - had to chase for answers."",2026-01-10,San Francisco"
"RESP_023,3,""Scheduled my scan for 9am. Arrived on time. Waited 45 minutes past my appointment time with no explanation or apology. Time is valuable too."",2026-01-09,Denver"
"RESP_024,9,""The whole process was seamless. Love that I can message my Scan Advisor anytime and get quick responses. This is the future of healthcare."",2026-01-09,Los Angeles"
"RESP_025,2,""Customer service is severely lacking. Sent three emails asking about insurance and never got a response. Finally called and got disconnected twice before getting through."",2026-01-08,Toronto"
"RESP_026,8,""Really thorough scan and excellent follow-up care. Appreciated how much time the doctor spent reviewing my results with me. Minor issues with the booking system but nothing major."",2026-01-08,London"
"RESP_027,5,""Mixed experience. The scan itself was great and facility was nice. But communication leading up to it was confusing - got conflicting information about prep requirements."",2026-01-07,Boston"
"RESP_028,10,""Absolutely phenomenal from start to finish. This is what preventive healthcare should look like. Every interaction was thoughtful and professional."",2026-01-07,Chicago"
"RESP_029,3,""Tried to book online but the system wouldn't accept my insurance information. Spent 40 minutes on the phone trying to sort it out. Very frustrating start."",2026-01-06,Miami"
"RESP_030,7,""Good overall but results took longer than expected. Was told 7-10 days, took almost 3 weeks. Scan quality seems excellent though."",2026-01-06,Seattle"
"RESP_031,4,""Had to reschedule twice due to work emergencies. First time was fine. Second time I got an email saying I'd be charged a fee even though it was more than 48 hours notice. Policy seems arbitrary."",2026-01-05,Austin"
"RESP_032,9,""Incredibly impressed with the technology and expertise. The radiologist caught something my regular doctor had missed. Already scheduled my next annual scan."",2026-01-05,New York"
